GEO.id,GEO.id2,GEO.display+AC0-label,total+AF8-households,total+AF8-owners,total+AF8-renters
1400000US36005019300,36005019300,+ACI-Census Tract 193, Bronx County, New York+ACI-,1982,0,1982
1400000US36005019400,36005019400,+ACI-Census Tract 194, Bronx County, New York+ACI-,710,225,485
1400000US36005019500,36005019500,+ACI-Census Tract 195, Bronx County, New York+ACI-,2739,131,2608
1400000US36005019700,36005019700,+ACI-Census Tract 197, Bronx County, New York+ACI-,2187,0,2187
1400000US36005019900,36005019900,+ACI-Census Tract 199, Bronx County, New York+ACI-,2680,189,2491
1400000US36005020000,36005020000,+ACI-Census Tract 200, Bronx County, New York+ACI-,1491,143,1348
1400000US36005020100,36005020100,+ACI-Census Tract 201, Bronx County, New York+ACI-,1307,34,1273
1400000US36005020200,36005020200,+ACI-Census Tract 202, Bronx County, New York+ACI-,847,99,748
1400000US36005020400,36005020400,+ACI-Census Tract 204, Bronx County, New York+ACI-,1029,210,819
1400000US36005020501,36005020501,+ACI-Census Tract 205.01, Bronx County, New York+ACI-,2690,151,2539
1400000US36005020502,36005020502,+ACI-Census Tract 205.02, Bronx County, New York+ACI-,874,105,769
1400000US36005020601,36005020601,+ACI-Census Tract 206.01, Bronx County, New York+ACI-,846,262,584
1400000US36005020900,36005020900,+ACI-Census Tract 209, Bronx County, New York+ACI-,1537,0,1537
1400000US36005021001,36005021001,+ACI-Census Tract 210.01, Bronx County, New York+ACI-,3850,1290,2560
1400000US36005021002,36005021002,+ACI-Census Tract 210.02, Bronx County, New York+ACI-,3007,542,2465
1400000US36005021100,36005021100,+ACI-Census Tract 211, Bronx County, New York+ACI-,1791,101,1690
1400000US36005021200,36005021200,+ACI-Census Tract 212, Bronx County, New York+ACI-,2105,545,1560
1400000US36005021301,36005021301,+ACI-Census Tract 213.01, Bronx County, New York+ACI-,459,42,417
1400000US36005021302,36005021302,+ACI-Census Tract 213.02, Bronx County, New York+ACI-,1961,80,1881
1400000US36005021501,36005021501,+ACI-Census Tract 215.01, Bronx County, New York+ACI-,1402,11,1391
1400000US36005021502,36005021502,+ACI-Census Tract 215.02, Bronx County, New York+ACI-,2109,15,2094
1400000US36005021601,36005021601,+ACI-Census Tract 216.01, Bronx County, New York+ACI-,1586,224,1362
1400000US36005021602,36005021602,+ACI-Census Tract 216.02, Bronx County, New York+ACI-,2517,344,2173
1400000US36005021700,36005021700,+ACI-Census Tract 217, Bronx County, New York+ACI-,1675,24,1651
1400000US36005021800,36005021800,+ACI-Census Tract 218, Bronx County, New York+ACI-,2277,439,1838
1400000US36005021900,36005021900,+ACI-Census Tract 219, Bronx County, New York+ACI-,409,6,403
1400000US36005022000,36005022000,+ACI-Census Tract 220, Bronx County, New York+ACI-,464,16,448
1400000US36005022101,36005022101,+ACI-Census Tract 221.01, Bronx County, New York+ACI-,1193,0,1193
1400000US36005022102,36005022102,+ACI-Census Tract 221.02, Bronx County, New York+ACI-,1583,48,1535
1400000US36005022200,36005022200,+ACI-Census Tract 222, Bronx County, New York+ACI-,1179,161,1018
1400000US36005022300,36005022300,+ACI-Census Tract 223, Bronx County, New York+ACI-,1830,0,1830
1400000US36005022401,36005022401,+ACI-Census Tract 224.01, Bronx County, New York+ACI-,1112,188,924
1400000US36005022403,36005022403,+ACI-Census Tract 224.03, Bronx County, New York+ACI-,1320,101,1219
1400000US36005022404,36005022404,+ACI-Census Tract 224.04, Bronx County, New York+ACI-,1807,319,1488
1400000US36005022500,36005022500,+ACI-Census Tract 225, Bronx County, New York+ACI-,2307,41,2266
1400000US36005022701,36005022701,+ACI-Census Tract 227.01, Bronx County, New York+ACI-,1829,59,1770
1400000US36005022702,36005022702,+ACI-Census Tract 227.02, Bronx County, New York+ACI-,646,10,636
1400000US36005022703,36005022703,+ACI-Census Tract 227.03, Bronx County, New York+ACI-,585,0,585
1400000US36005022800,36005022800,+ACI-Census Tract 228, Bronx County, New York+ACI-,2439,150,2289
1400000US36005022901,36005022901,+ACI-Census Tract 229.01, Bronx County, New York+ACI-,1716,61,1655
1400000US36005022902,36005022902,+ACI-Census Tract 229.02, Bronx County, New York+ACI-,1092,108,984
1400000US36005023000,36005023000,+ACI-Census Tract 230, Bronx County, New York+ACI-,1006,210,796
1400000US36005023100,36005023100,+ACI-Census Tract 231, Bronx County, New York+ACI-,441,19,422
1400000US36005023200,36005023200,+ACI-Census Tract 232, Bronx County, New York+ACI-,840,244,596
1400000US36005023301,36005023301,+ACI-Census Tract 233.01, Bronx County, New York+ACI-,1519,46,1473
1400000US36005023302,36005023302,+ACI-Census Tract 233.02, Bronx County, New York+ACI-,959,6,953
1400000US36005023501,36005023501,+ACI-Census Tract 235.01, Bronx County, New York+ACI-,1099,0,1099
1400000US36005023502,36005023502,+ACI-Census Tract 235.02, Bronx County, New York+ACI-,1687,52,1635
1400000US36005023600,36005023600,+ACI-Census Tract 236, Bronx County, New York+ACI-,637,123,514
1400000US36005023702,36005023702,+ACI-Census Tract 237.02, Bronx County, New York+ACI-,324,0,324
1400000US36005023703,36005023703,+ACI-Census Tract 237.03, Bronx County, New York+ACI-,1434,63,1371
1400000US36005023704,36005023704,+ACI-Census Tract 237.04, Bronx County, New York+ACI-,1346,9,1337
1400000US36005023800,36005023800,+ACI-Census Tract 238, Bronx County, New York+ACI-,775,201,574
1400000US36005023900,36005023900,+ACI-Census Tract 239, Bronx County, New York+ACI-,2531,97,2434
1400000US36005024000,36005024000,+ACI-Census Tract 240, Bronx County, New York+ACI-,1165,315,850
1400000US36005024100,36005024100,+ACI-Census Tract 241, Bronx County, New York+ACI-,1803,61,1742
1400000US36005024300,36005024300,+ACI-Census Tract 243, Bronx County, New York+ACI-,1922,98,1824
1400000US36005024400,36005024400,+ACI-Census Tract 244, Bronx County, New York+ACI-,826,315,511
1400000US36005024501,36005024501,+ACI-Census Tract 245.01, Bronx County, New York+ACI-,1574,87,1487
1400000US36005024502,36005024502,+ACI-Census Tract 245.02, Bronx County, New York+ACI-,1089,31,1058
1400000US36005024600,36005024600,+ACI-Census Tract 246, Bronx County, New York+ACI-,753,410,343
1400000US36005024700,36005024700,+ACI-Census Tract 247, Bronx County, New York+ACI-,740,22,718
1400000US36005024800,36005024800,+ACI-Census Tract 248, Bronx County, New York+ACI-,1166,264,902
1400000US36005024900,36005024900,+ACI-Census Tract 249, Bronx County, New York+ACI-,0,0,0
1400000US36005025000,36005025000,+ACI-Census Tract 250, Bronx County, New York+ACI-,993,487,506
1400000US36005025100,36005025100,+ACI-Census Tract 251, Bronx County, New York+ACI-,2137,181,1956
1400000US36005025200,36005025200,+ACI-Census Tract 252, Bronx County, New York+ACI-,867,367,500
1400000US36005025300,36005025300,+ACI-Census Tract 253, Bronx County, New York+ACI-,1873,98,1775
1400000US36005025400,36005025400,+ACI-Census Tract 254, Bronx County, New York+ACI-,788,330,458
1400000US36005025500,36005025500,+ACI-Census Tract 255, Bronx County, New York+ACI-,2198,62,2136
1400000US36005025600,36005025600,+ACI-Census Tract 256, Bronx County, New York+ACI-,648,198,450
1400000US36005025700,36005025700,+ACI-Census Tract 257, Bronx County, New York+ACI-,638,23,615
1400000US36005026100,36005026100,+ACI-Census Tract 261, Bronx County, New York+ACI-,954,714,240
1400000US36005026300,36005026300,+ACI-Census Tract 263, Bronx County, New York+ACI-,2175,118,2057
1400000US36005026400,36005026400,+ACI-Census Tract 264, Bronx County, New York+ACI-,1957,805,1152
1400000US36005026500,36005026500,+ACI-Census Tract 265, Bronx County, New York+ACI-,2017,141,1876
1400000US36005026601,36005026601,+ACI-Census Tract 266.01, Bronx County, New York+ACI-,1307,233,1074
1400000US36005026602,36005026602,+ACI-Census Tract 266.02, Bronx County, New York+ACI-,2531,494,2037
1400000US36005026701,36005026701,+ACI-Census Tract 267.01, Bronx County, New York+ACI-,1288,16,1272
1400000US36005026702,36005026702,+ACI-Census Tract 267.02, Bronx County, New York+ACI-,2417,270,2147
1400000US36005026900,36005026900,+ACI-Census Tract 269, Bronx County, New York+ACI-,1371,138,1233
1400000US36005027300,36005027300,+ACI-Census Tract 273, Bronx County, New York+ACI-,2610,263,2347
